
Epoch: 1/15, 1500/1500, ETA: 02m 25s
Epoch 1/15, Loss: 0.3073, Accuracy: 0.9026
Validation Loss: 0.0500, Validation Accuracy: 0.9697
Validation Loss: 0.0508, Validation Accuracy: 0.9695
Validation Loss: 0.0509, Validation Accuracy: 0.9695
Validation Loss: 0.0510, Validation Accuracy: 0.9695
Validation Loss: 0.0511, Validation Accuracy: 0.9696
Validation Loss: 0.0513, Validation Accuracy: 0.9696
Validation Loss: 0.0518, Validation Accuracy: 0.9691
Validation Loss: 0.0519, Validation Accuracy: 0.9691
Validation Loss: 0.0530, Validation Accuracy: 0.9688
Validation Loss: 0.0535, Validation Accuracy: 0.9686
Validation Loss: 0.0537, Validation Accuracy: 0.9686
Validation Loss: 0.0539, Validation Accuracy: 0.9686
Validation Loss: 0.0541, Validation Accuracy: 0.9686
Validation Loss: 0.0542, Validation Accuracy: 0.9686
Validation Loss: 0.0543, Validation Accuracy: 0.9688
Validation Loss: 0.0549, Validation Accuracy: 0.9686
Validation Loss: 0.0550, Validation Accuracy: 0.9688
Validation Loss: 0.0550, Validation Accuracy: 0.9689
Validation Loss: 0.0552, Validation Accuracy: 0.9688
Validation Loss: 0.0556, Validation Accuracy: 0.9686
Validation Loss: 0.0557, Validation Accuracy: 0.9688
Validation Loss: 0.0557, Validation Accuracy: 0.9689
Validation Loss: 0.0557, Validation Accuracy: 0.9691
Validation Loss: 0.0558, Validation Accuracy: 0.9692
Validation Loss: 0.0558, Validation Accuracy: 0.9694
Validation Loss: 0.0561, Validation Accuracy: 0.9694
Validation Loss: 0.0563, Validation Accuracy: 0.9694
Validation Loss: 0.0564, Validation Accuracy: 0.9695
Validation Loss: 0.0564, Validation Accuracy: 0.9697
Validation Loss: 0.0565, Validation Accuracy: 0.9698
Validation Loss: 0.0568, Validation Accuracy: 0.9698
Validation Loss: 0.0568, Validation Accuracy: 0.9700
Validation Loss: 0.0569, Validation Accuracy: 0.9701
Validation Loss: 0.0570, Validation Accuracy: 0.9703
Validation Loss: 0.0576, Validation Accuracy: 0.9703
Validation Loss: 0.0580, Validation Accuracy: 0.9700
Validation Loss: 0.0581, Validation Accuracy: 0.9701
Validation Loss: 0.0582, Validation Accuracy: 0.9701
Validation Loss: 0.0587, Validation Accuracy: 0.9699
Validation Loss: 0.0594, Validation Accuracy: 0.9698
Validation Loss: 0.0598, Validation Accuracy: 0.9698
Validation Loss: 0.0600, Validation Accuracy: 0.9698
Validation Loss: 0.0607, Validation Accuracy: 0.9696
Validation Loss: 0.0610, Validation Accuracy: 0.9695
Validation Loss: 0.0615, Validation Accuracy: 0.9693
Validation Loss: 0.0616, Validation Accuracy: 0.9695
Validation Loss: 0.0621, Validation Accuracy: 0.9693
Validation Loss: 0.0622, Validation Accuracy: 0.9695
Validation Loss: 0.0622, Validation Accuracy: 0.9696
Validation Loss: 0.0624, Validation Accuracy: 0.9696
Validation Loss: 0.0628, Validation Accuracy: 0.9695
Validation Loss: 0.0629, Validation Accuracy: 0.9695
Validation Loss: 0.0630, Validation Accuracy: 0.9696
Validation Loss: 0.0633, Validation Accuracy: 0.9694
Validation Loss: 0.0633, Validation Accuracy: 0.9696
Validation Loss: 0.0636, Validation Accuracy: 0.9697
Validation Loss: 0.0636, Validation Accuracy: 0.9699
Validation Loss: 0.0638, Validation Accuracy: 0.9698
Validation Loss: 0.0639, Validation Accuracy: 0.9700
Validation Loss: 0.0640, Validation Accuracy: 0.9700
Validation Loss: 0.0641, Validation Accuracy: 0.9701
Validation Loss: 0.0643, Validation Accuracy: 0.9701
Validation Loss: 0.0643, Validation Accuracy: 0.9702
Validation Loss: 0.0647, Validation Accuracy: 0.9702
Validation Loss: 0.0653, Validation Accuracy: 0.9699
Validation Loss: 0.0654, Validation Accuracy: 0.9699
Validation Loss: 0.0655, Validation Accuracy: 0.9701
Validation Loss: 0.0659, Validation Accuracy: 0.9698
Validation Loss: 0.0660, Validation Accuracy: 0.9699
Validation Loss: 0.0662, Validation Accuracy: 0.9698
Validation Loss: 0.0663, Validation Accuracy: 0.9699
Validation Loss: 0.0666, Validation Accuracy: 0.9699
Validation Loss: 0.0666, Validation Accuracy: 0.9700
Validation Loss: 0.0672, Validation Accuracy: 0.9699
Validation Loss: 0.0677, Validation Accuracy: 0.9698
Validation Loss: 0.0682, Validation Accuracy: 0.9696
Validation Loss: 0.0684, Validation Accuracy: 0.9698
Validation Loss: 0.0685, Validation Accuracy: 0.9699
Validation Loss: 0.0686, Validation Accuracy: 0.9699
Validation Loss: 0.0686, Validation Accuracy: 0.9700
Validation Loss: 0.0686, Validation Accuracy: 0.9701
Validation Loss: 0.0692, Validation Accuracy: 0.9701
Validation Loss: 0.0696, Validation Accuracy: 0.9700
Validation Loss: 0.0698, Validation Accuracy: 0.9700
Validation Loss: 0.0699, Validation Accuracy: 0.9701
Validation Loss: 0.0700, Validation Accuracy: 0.9701
Validation Loss: 0.0701, Validation Accuracy: 0.9702
Validation Loss: 0.0702, Validation Accuracy: 0.9703
Validation Loss: 0.0709, Validation Accuracy: 0.9703
Validation Loss: 0.0711, Validation Accuracy: 0.9703
Validation Loss: 0.0716, Validation Accuracy: 0.9701
Validation Loss: 0.0719, Validation Accuracy: 0.9701
Validation Loss: 0.0723, Validation Accuracy: 0.9701
Validation Loss: 0.0724, Validation Accuracy: 0.9701
Validation Loss: 0.0726, Validation Accuracy: 0.9700
Validation Loss: 0.0727, Validation Accuracy: 0.9700
Validation Loss: 0.0730, Validation Accuracy: 0.9700
Validation Loss: 0.0731, Validation Accuracy: 0.9701
Validation Loss: 0.0733, Validation Accuracy: 0.9701
Validation Loss: 0.0737, Validation Accuracy: 0.9701
Validation Loss: 0.0750, Validation Accuracy: 0.9699
Validation Loss: 0.0752, Validation Accuracy: 0.9699
Validation Loss: 0.0753, Validation Accuracy: 0.9700
Validation Loss: 0.0757, Validation Accuracy: 0.9700
Validation Loss: 0.0757, Validation Accuracy: 0.9701
Validation Loss: 0.0759, Validation Accuracy: 0.9701
Validation Loss: 0.0762, Validation Accuracy: 0.9701
Validation Loss: 0.0762, Validation Accuracy: 0.9702
Validation Loss: 0.0762, Validation Accuracy: 0.9703
Validation Loss: 0.0762, Validation Accuracy: 0.9704
Validation Loss: 0.0763, Validation Accuracy: 0.9705
Validation Loss: 0.0764, Validation Accuracy: 0.9706
Validation Loss: 0.0764, Validation Accuracy: 0.9707
Validation Loss: 0.0765, Validation Accuracy: 0.9708
Validation Loss: 0.0772, Validation Accuracy: 0.9707
Validation Loss: 0.0774, Validation Accuracy: 0.9708
Validation Loss: 0.0775, Validation Accuracy: 0.9708
Validation Loss: 0.0777, Validation Accuracy: 0.9708
Validation Loss: 0.0777, Validation Accuracy: 0.9709
Validation Loss: 0.0778, Validation Accuracy: 0.9709
Validation Loss: 0.0784, Validation Accuracy: 0.9709
Validation Loss: 0.0784, Validation Accuracy: 0.9710
Validation Loss: 0.0787, Validation Accuracy: 0.9710
Validation Loss: 0.0788, Validation Accuracy: 0.9711
Validation Loss: 0.0789, Validation Accuracy: 0.9712
Validation Loss: 0.0793, Validation Accuracy: 0.9711
Validation Loss: 0.0795, Validation Accuracy: 0.9711
Validation Loss: 0.0802, Validation Accuracy: 0.9711
Validation Loss: 0.0803, Validation Accuracy: 0.9712
Validation Loss: 0.0810, Validation Accuracy: 0.9710
Validation Loss: 0.0820, Validation Accuracy: 0.9709
Validation Loss: 0.0825, Validation Accuracy: 0.9706
Validation Loss: 0.0825, Validation Accuracy: 0.9707
Validation Loss: 0.0826, Validation Accuracy: 0.9708
Validation Loss: 0.0827, Validation Accuracy: 0.9708
Validation Loss: 0.0827, Validation Accuracy: 0.9709
Validation Loss: 0.0829, Validation Accuracy: 0.9709
Validation Loss: 0.0830, Validation Accuracy: 0.9709
Validation Loss: 0.0835, Validation Accuracy: 0.9709
Validation Loss: 0.0835, Validation Accuracy: 0.9710
Validation Loss: 0.0840, Validation Accuracy: 0.9709
Validation Loss: 0.0840, Validation Accuracy: 0.9710
Validation Loss: 0.0843, Validation Accuracy: 0.9709
Validation Loss: 0.0845, Validation Accuracy: 0.9709
Validation Loss: 0.0850, Validation Accuracy: 0.9708
Validation Loss: 0.0862, Validation Accuracy: 0.9706
Validation Loss: 0.0870, Validation Accuracy: 0.9705
Validation Loss: 0.0871, Validation Accuracy: 0.9706
Validation Loss: 0.0872, Validation Accuracy: 0.9707
Validation Loss: 0.0873, Validation Accuracy: 0.9707
Validation Loss: 0.0874, Validation Accuracy: 0.9708
Validation Loss: 0.0882, Validation Accuracy: 0.9708
Validation Loss: 0.0887, Validation Accuracy: 0.9707
Validation Loss: 0.0892, Validation Accuracy: 0.9705
Validation Loss: 0.0892, Validation Accuracy: 0.9706
Validation Loss: 0.0894, Validation Accuracy: 0.9706
Validation Loss: 0.0896, Validation Accuracy: 0.9705
Validation Loss: 0.0898, Validation Accuracy: 0.9705
Validation Loss: 0.0900, Validation Accuracy: 0.9705
Validation Loss: 0.0903, Validation Accuracy: 0.9704
Validation Loss: 0.0906, Validation Accuracy: 0.9703
Validation Loss: 0.0908, Validation Accuracy: 0.9703
Validation Loss: 0.0910, Validation Accuracy: 0.9703
Validation Loss: 0.0913, Validation Accuracy: 0.9702
Validation Loss: 0.0915, Validation Accuracy: 0.9701
Validation Loss: 0.0921, Validation Accuracy: 0.9701
Validation Loss: 0.0925, Validation Accuracy: 0.9700
Validation Loss: 0.0927, Validation Accuracy: 0.9700
Validation Loss: 0.0928, Validation Accuracy: 0.9700
Validation Loss: 0.0932, Validation Accuracy: 0.9699
Validation Loss: 0.0939, Validation Accuracy: 0.9698
Validation Loss: 0.0954, Validation Accuracy: 0.9696
Validation Loss: 0.0957, Validation Accuracy: 0.9695
Validation Loss: 0.0960, Validation Accuracy: 0.9695
Validation Loss: 0.0963, Validation Accuracy: 0.9695
Validation Loss: 0.0964, Validation Accuracy: 0.9695
Validation Loss: 0.0965, Validation Accuracy: 0.9695
Validation Loss: 0.0967, Validation Accuracy: 0.9695
Validation Loss: 0.0974, Validation Accuracy: 0.9693
Validation Loss: 0.0975, Validation Accuracy: 0.9694
Validation Loss: 0.0975, Validation Accuracy: 0.9695
Validation Loss: 0.0976, Validation Accuracy: 0.9695
Validation Loss: 0.0978, Validation Accuracy: 0.9695
Validation Loss: 0.0992, Validation Accuracy: 0.9693
Validation Loss: 0.0993, Validation Accuracy: 0.9694
Validation Loss: 0.0994, Validation Accuracy: 0.9694
Validation Loss: 0.0995, Validation Accuracy: 0.9695
Validation Loss: 0.0996, Validation Accuracy: 0.9695
Validation Loss: 0.1003, Validation Accuracy: 0.9694
Validation Loss: 0.1005, Validation Accuracy: 0.9694
Validation Loss: 0.1006, Validation Accuracy: 0.9694
Validation Loss: 0.1012, Validation Accuracy: 0.9694
Validation Loss: 0.1012, Validation Accuracy: 0.9695
Validation Loss: 0.1017, Validation Accuracy: 0.9694
Validation Loss: 0.1018, Validation Accuracy: 0.9694
Validation Loss: 0.1022, Validation Accuracy: 0.9693
Validation Loss: 0.1028, Validation Accuracy: 0.9693
Validation Loss: 0.1029, Validation Accuracy: 0.9693
Validation Loss: 0.1029, Validation Accuracy: 0.9694
Validation Loss: 0.1034, Validation Accuracy: 0.9693
Validation Loss: 0.1038, Validation Accuracy: 0.9693
Validation Loss: 0.1044, Validation Accuracy: 0.9692
Validation Loss: 0.1049, Validation Accuracy: 0.9692
Validation Loss: 0.1049, Validation Accuracy: 0.9693
Validation Loss: 0.1049, Validation Accuracy: 0.9693
Epoch: 2/15, 1492/1500, ETA: 03m 11s
Epoch: 3/15, 598/1500, ETA: 08m 51s Accuracy: 0.9636
Validation Loss: 0.0322, Validation Accuracy: 0.9634
Validation Loss: 0.0323, Validation Accuracy: 0.9634
Validation Loss: 0.0324, Validation Accuracy: 0.9638
Validation Loss: 0.0332, Validation Accuracy: 0.9635
Validation Loss: 0.0333, Validation Accuracy: 0.9639
Validation Loss: 0.0338, Validation Accuracy: 0.9636
Validation Loss: 0.0345, Validation Accuracy: 0.9634
Validation Loss: 0.0348, Validation Accuracy: 0.9634
Validation Loss: 0.0356, Validation Accuracy: 0.9632
Validation Loss: 0.0358, Validation Accuracy: 0.9633
Validation Loss: 0.0363, Validation Accuracy: 0.9627
Validation Loss: 0.0368, Validation Accuracy: 0.9628
Validation Loss: 0.0372, Validation Accuracy: 0.9628
Validation Loss: 0.0375, Validation Accuracy: 0.9623
Validation Loss: 0.0378, Validation Accuracy: 0.9624
Validation Loss: 0.0392, Validation Accuracy: 0.9613
Validation Loss: 0.0393, Validation Accuracy: 0.9617
Validation Loss: 0.0395, Validation Accuracy: 0.9620
